"Parcel.number","Taxpayer.name","Parcel.address","Jurisdiction","Zip.code","Appraised.value","Assessor.s.report","SaleReason","SaleInstrument","PropertyClass","PrincipalUse","PropertyType","ExciseTaxNbr","Major","Minor","DocumentDate","SalePrice","RecordingNbr","Volume","Page","PlatNbr","PlatType","PlatLot","PlatBlock","SellerName","BuyerName","AFForestLand","AFCurrentUseLand","AFNonProfitUse","AFHistoricProperty","SaleWarning","PropertyTypeDecode","PrincipalUseDecode","PropertyClassDecode","SaleInstrumentDecode","SaleReasonDecode"
"0609000040","ABCD TRUST","714 11TH AVE S","SEATTLE","98104",787500,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000045","ABCD TRUST","718 11TH AVE S","SEATTLE","98104",787500,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000050","ABCD TRUST","S DEARBORN ST","SEATTLE","98104",441000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000055","ABCD TRUST","S DEARBORN ST","SEATTLE","98104",3975900,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000080","ABCD TRUST","12TH AVE S","SEATTLE","98104",747700,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000085","ABCD TRUST","1118 S DEARBORN ST","SEATTLE","98104",2601600,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1275150000",NA,"#Error",NA,NA,NA,"Report",1,15,8,6,11,2972771,"127515","0000",2019-01-11,0,20190207000300,NA,NA,NA," ","              ","       ","RISER GYNE                                        ","RISER GYNE+RISER FAMILY TRUST                     ","N","N","N","N","18","Household, Single Family Units","Residential","Residential - Improved property","Quit Claim Deed","None"
"2662650000",NA,"510 6TH AVE S",NA,"98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3320000111","PHO PHAMILY I LLC","1254 S JACKSON ST","SEATTLE","98144",233400,"Report",18,3,2,7,3,2395950,"332000","0111",2009-06-09,0,20090623000924,NA,NA,NA," ","              ","       ","PHAM AUGUSTINE NIEN+THERESA CAT VU                ","PHO PHAMILY I LLC                                 ","N","N","N","N","11 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000135","PHO PHAMILY I LLC","S JACKSON ST","SEATTLE","98144",283700,"Report",18,3,2,7,3,2395949,"332000","0135",2009-06-09,0,20090623000923,NA,NA,NA," ","              ","       ","PHAM AUGUSTINE NIEN+THERESA CAT VU                ","PHO PHAMILY I LLC                                 ","N","N","N","N","45 51","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000140","PHO PHAMILY I LLC","S JACKSON ST","SEATTLE","98144",354900,"Report",18,3,2,7,3,2395949,"332000","0140",2009-06-09,0,20090623000923,NA,NA,NA," ","              ","       ","PHAM AUGUSTINE NIEN+THERESA CAT VU                ","PHO PHAMILY I LLC                                 ","N","N","N","N","45 51","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000145","PHO PHAMILY IV LLC","S JACKSON ST","SEATTLE","98144",601600,"Report",18,3,2,7,3,2395952,"332000","0145",2009-06-09,0,20090623000926,NA,NA,NA," ","              ","       ","PHAM AUGUSTINE NIEN+THERESA CAT VU                ","PHO PHAMILY IV LLC                                ","N","N","N","N","31 45 51","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000500","DANG QUOC","S JACKSON ST","SEATTLE","98144",1239800,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3320000530","HO INVESTMENTS","401 RAINIER AVE S","SEATTLE","98144",3045000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3320000555","ALQ INVESTMENT LLC","421 RAINIER AVE S","SEATTLE","98144",2832700,"Report",1,3,2,7,59,2848556,"332000","0555",2017-02-07,1450000,20170214000410,NA,NA,NA," ","              ","       ","FORSLOF BEVERLY                                   ","ALQ INVESTMENT LLC                                ","N","N","N","N"," ","Tenant Occupied, Commercial Properties","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320000570","H&L-KING LLC","1264 S KING ST","SEATTLE","98144",2837500,"Report",1,3,2,7,3,2942997,"332000","0570",2018-07-06,3300000,20180720001043,NA,NA,NA," ","              ","       ","TEGANTVOORT LAND LLC                              ","H&L-KING LLC                                      ","N","N","N","N","26","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320000570","H&L-KING LLC","1264 S KING ST","SEATTLE","98144",2837500,"Report",18,15,2,7,3,2839167,"332000","0570",2016-12-09,0,20161213002167,NA,NA,NA," ","              ","       ","TEGANTVOORT PAUL L+KAREN J                        ","TEGANTVOORT LAND LLC                              ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3320000580","LIHI KING STREET LLC","#Error","SEATTLE",NA,1008000,"Report",18,3,2,7,3,3161968,"332000","0580",2021-12-01,3350000,20211202001866,NA,NA,NA," ","              ","       ","MING YA BUDDHIST FOUNDATION SEATTLE USA           ","LIHI KING STREET LLC                              ","N","N","N","N","45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000585","LIHI KING STREET LLC","1254 S KING ST","SEATTLE","98144",1008000,"Report",18,3,2,7,3,3161968,"332000","0585",2021-12-01,3350000,20211202001866,NA,NA,NA," ","              ","       ","MING YA BUDDHIST FOUNDATION SEATTLE USA           ","LIHI KING STREET LLC                              ","N","N","N","N","45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"3320000590","DO PROPERTY LLC","1248 S KIN","SEATTLE","G ST",2024700,"Report",18,15,1,11,1,2431677,"332000","0590",2010-03-09,0,20100309000412,NA,NA,NA," ","              ","       ","DO HUNG+DANG VANHUONG                             ","DO PROPERTY LLC                                   ","N","N","N","N","11 18 45","Land Only","Commercial/Industrial","C/I land only","Quit Claim Deed","Other"
"3320000595","DO PROPERTY LLC","S KING ST","SEATTLE","98144",1002700,"Report",18,15,1,11,1,2431677,"332000","0595",2010-03-09,0,20100309000412,NA,NA,NA," ","              ","       ","DO HUNG+DANG VANHUONG                             ","DO PROPERTY LLC                                   ","N","N","N","N","11 18 45","Land Only","Commercial/Industrial","C/I land only","Quit Claim Deed","Other"
"3320500005","DO QUYEN TRONG & NGUYEN HUE","1247 S KING ST","SEATTLE","98144",1202000,"Report",18,27,8,6,11,3125567,"332050","0005",2021-06-08,0,20210616000005,NA,NA,NA," ","              ","       ","VU CHRISTOPHER HUNG                               ","DO QUYEN TRONG+NGUYEN HUE THI                     ","N","N","N","N","12 31 51","Household, Single Family Units","Residential","Residential - Improved property","Deed","Other"
"3320500005","DO QUYEN TRONG & NGUYEN HUE","1247 S KING ST","SEATTLE","98144",1202000,"Report",14,15,8,6,3,2756928,"332050","0005",2015-09-17,0,20150921000496,NA,NA,NA," ","              ","       ","NGUYEN LUU H+AN DO                                ","DO VUONG HUNG                                     ","N","N","N","N","18 31 51 52","Land With Prev Used Bldg","Residential","Residential - Improved property","Quit Claim Deed","Partial Int - Love,Aff,Gft"
"3320500010","DO HUNG+DANG VANHUONG T","1251 S KING ST","SEATTLE","98144",1056000,"Report",1,3,8,6,3,3028551,"332050","0010",2019-12-20,1205000,20200102000882,NA,NA,NA," ","              ","       ","JAINGA BARBARA JEAN                               ","DO HUNG+DANG VANHUONG T                           ","N","N","N","N"," ","Land With Prev Used Bldg","Residential","Residential - Improved property","Statutory Warranty Deed","None"
"3320500010","DO HUNG+DANG VANHUONG T","1251 S KING ST","SEATTLE","98144",1056000,"Report",1,15,8,6,11,2946257,"332050","0010",2018-08-03,0,20180808000346,NA,NA,NA," ","              ","       ","JAINGA BARBARA JEAN                               ","JAINGA BARBARA JEAN                               ","N","N","N","N","18","Household, Single Family Units","Residential","Residential - Improved property","Quit Claim Deed","None"
"3320500015","DO PROPERTY LLC","S KING ST","SEATTLE","98144",866200,"Report",1,3,1,7,91,2948281,"332050","0015",2018-08-14,870000,20180820000583,NA,NA,NA," ","              ","       ","CHONG WA EDUCATION SOCIETY                        ","DO PROPERTY LLC                                   ","N","N","N","N"," ","Undeveloped Land (Land Only)","Commercial","C/I land only","Statutory Warranty Deed","None"
"3320500015","DO PROPERTY LLC","S KING ST","SEATTLE","98144",866200,"Report",1,15,1,7,91,2944719,"332050","0015",2018-07-25,0,20180731000056,NA,NA,NA," ","              ","       ","CHONG WA BENEVOLENT ASSOC                         ","CHONG WA EDUCATION SOCIETY                        ","N","N","N","N"," ","Undeveloped Land (Land Only)","Commercial","C/I land only","Quit Claim Deed","None"
"3320500020","1257 KING LLC","1257 S KIN","SEATTLE","G ST",1096700,"Report",1,3,1,7,1,2747291,"332050","0020",2015-07-22,380000,20150731002216,NA,NA,NA," ","              ","       ","KAKU HIDEO D+OKADA MAKOTO                         ","1257 KING LLC                                     ","N","N","N","N"," ","Land Only","Commercial","C/I land only","Statutory Warranty Deed","None"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",18,15,8,6,11,3085091,"332050","0025",2020-11-25,0,20201125002054,NA,NA,NA," ","              ","       ","HAN YANBIN                                        ","NEW HOPE DEVELOPMENT LLC                          ","N","N","N","N","11","Household, Single Family Units","Residential","Residential - Improved property","Quit Claim Deed","Other"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",1,3,8,6,3,2944626,"332050","0025",2018-07-25,1600000,20180730001677,NA,NA,NA," ","              ","       ","WEBER JAIDEE+JULIAN                               ","NEW HOPE DEVELOPMENT LLC                          ","N","N","N","N","56","Land With Prev Used Bldg","Residential","Residential - Improved property","Statutory Warranty Deed","None"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",18,15,8,6,11,3165564,"332050","0025",2021-12-20,0,20211222000702,NA,NA,NA," ","              ","       ","HAN YANBIN                                        ","NEW HOPE DEVELOPMENT LLC                          ","N","N","N","N","11","Household, Single Family Units","Residential","Residential - Improved property","Quit Claim Deed","Other"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",18,15,8,6,3,3048741,"332050","0025",2020-05-26,0,20200528000990,NA,NA,NA," ","              ","       ","NEW HOPE DEVELOPMENT LLC                          ","HAN YANBIN                                        ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Residential","Residential - Improved property","Quit Claim Deed","Other"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",1,3,8,6,3,2747079,"332050","0025",2015-07-22,380000,20150731001652,NA,NA,NA," ","              ","       ","OKADA UTATA BARRY-TRUSTEE                         ","WEBER JULIAN+JAIDEE                               ","N","N","N","N"," ","Land With Prev Used Bldg","Residential","Residential - Improved property","Statutory Warranty Deed","None"
"3320500025","NEW HOPE DEVELOPMENT LLC","#Error","SEATTLE",NA,1206000,"Report",18,15,8,6,11,3111712,"332050","0025",2021-04-14,0,20210416000792,NA,NA,NA," ","              ","       ","NEW HOPE DEVELOPMENT LLC                          ","HAN YANBIN                                        ","N","N","N","N","11","Household, Single Family Units","Residential","Residential - Improved property","Quit Claim Deed","Other"
"3320500030","SUBSTRATE QOF RE LLC","1265 S KING ST","SEATTLE","98144",1981000,"Report",1,3,2,11,3,3001832,"332050","0030",2019-07-24,2570000,20190729000645,NA,NA,NA," ","              ","       ","HASHIMOTO BRUCE H                                 ","SUBSTRATE QOF RE LLC                              ","N","N","N","N","15","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320500040","KING COUNTY-TRANSIT","1269 S KING ST","SEATTLE","98144",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3320500045","HOUSING AT LINCS LLC","501 RAINIER A","SEATTLE","VE S",25813000,"Report",18,15,2,7,3,2852217,"332050","0045",2017-03-01,0,20170308000632,NA,NA,NA," ","              ","       ","BEPPU TERU                                        ","BEPPU GERALD L+STEVEN R+TAMURA ROBERTA A          ","N","N","N","N","18 31 45 51 52","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3320500045","HOUSING AT LINCS LLC","501 RAINIER A","SEATTLE","VE S",25813000,"Report",15,26,8,7,3,2963807,"332050","0045",2018-11-27,32000,20181128001274,NA,NA,NA," ","              ","       ","ANDERSON MAUDE+SOLAZZI RICHARD                    ","HOUSING AT LINCS LLC                              ","N","N","N","N","24","Land With Prev Used Bldg","Commercial","Residential - Improved property","Other - See Affidavit","Easement"
"3320500045","HOUSING AT LINCS LLC","501 RAINIER A","SEATTLE","VE S",25813000,"Report",1,3,2,7,3,2855310,"332050","0045",2017-03-27,3500000,20170327000977,NA,NA,NA," ","              ","       ","BEPPU GERALD L+TAMURA ROBERTA ANN+BEPPU STEVEN ROS","HOUSING AT LINCS LLC                              ","N","N","N","N","45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320500055","HOUSING AT LINCS LLC","#Error","SEATTLE",NA,675000,"Report",18,15,2,7,3,2852217,"332050","0055",2017-03-01,0,20170308000632,NA,NA,NA," ","              ","       ","BEPPU TERU                                        ","BEPPU GERALD L+STEVEN R+TAMURA ROBERTA A          ","N","N","N","N","18 31 45 51 52","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3320500055","HOUSING AT LINCS LLC","#Error","SEATTLE",NA,675000,"Report",1,3,2,7,3,2855310,"332050","0055",2017-03-27,3500000,20170327000977,NA,NA,NA," ","              ","       ","BEPPU GERALD L+TAMURA ROBERTA ANN+BEPPU STEVEN ROS","HOUSING AT LINCS LLC                              ","N","N","N","N","45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320500055","HOUSING AT LINCS LLC","#Error","SEATTLE",NA,675000,"Report",15,26,8,7,3,2963807,"332050","0055",2018-11-27,32000,20181128001274,NA,NA,NA," ","              ","       ","ANDERSON MAUDE+SOLAZZI RICHARD                    ","HOUSING AT LINCS LLC                              ","N","N","N","N","24","Land With Prev Used Bldg","Commercial","Residential - Improved property","Other - See Affidavit","Easement"
"3320500060","HOUSING AT LINCS LLC","RAINIER AVE S","SEATTLE","98144",1350000,"Report",15,26,8,7,3,2963807,"332050","0060",2018-11-27,32000,20181128001274,NA,NA,NA," ","              ","       ","ANDERSON MAUDE+SOLAZZI RICHARD                    ","HOUSING AT LINCS LLC                              ","N","N","N","N","24","Land With Prev Used Bldg","Commercial","Residential - Improved property","Other - See Affidavit","Easement"
"3320500060","HOUSING AT LINCS LLC","RAINIER AVE S","SEATTLE","98144",1350000,"Report",18,15,2,7,3,2852217,"332050","0060",2017-03-01,0,20170308000632,NA,NA,NA," ","              ","       ","BEPPU TERU                                        ","BEPPU GERALD L+STEVEN R+TAMURA ROBERTA A          ","N","N","N","N","18 31 45 51 52","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3320500060","HOUSING AT LINCS LLC","RAINIER AVE S","SEATTLE","98144",1350000,"Report",1,3,2,7,3,2855310,"332050","0060",2017-03-27,3500000,20170327000977,NA,NA,NA," ","              ","       ","BEPPU GERALD L+TAMURA ROBERTA ANN+BEPPU STEVEN ROS","HOUSING AT LINCS LLC                              ","N","N","N","N","45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"3320500070","SOLAZZI RICHARD","517 RAINIER AVE S","SEATTLE","98144",675000,"Report",11,3,1,7,1,3069245,"332050","0070",2019-11-25,0,20200914000827,NA,NA,NA," ","              ","       ","SOLAZZI RICHARD                                   ","ANDERSON MAUDE J                                  ","N","N","N","N","31 38","Land Only","Commercial","C/I land only","Statutory Warranty Deed","Divorce Settlement"
"3320500070","SOLAZZI RICHARD","517 RAINIER AVE S","SEATTLE","98144",675000,"Report",18,3,1,7,1,3069244,"332050","0070",2019-11-25,0,20200914000826,NA,NA,NA," ","              ","       ","SOLAZZI RICHARD-TTEE+PHYSICIAN ANESTHESIA SVC INC ","SOLAZZI RICHARD                                   ","N","N","N","N","12 31 51","Land Only","Commercial","C/I land only","Statutory Warranty Deed","Other"
"3320500075","HO INVESTMENTS","#Error","SEATTLE",NA,675000,"Report",1,15,1,7,91,2936362,"332050","0075",2018-06-14,0,20180615001337,NA,NA,NA," ","              ","       ","HO SOPHIA                                         ","HO INVESTMENTS                                    ","N","N","N","N"," ","Undeveloped Land (Land Only)","Commercial","C/I land only","Quit Claim Deed","None"
"3320500080","ANDERSON MAUDE","525 RAINIER AVE S","SEATTLE","98144",675000,"Report",11,15,5,7,3,3069246,"332050","0080",2019-12-12,0,20200914000828,NA,NA,NA," ","              ","       ","SOLAZZI RICHARD                                   ","ANDERSON MAUDE                                    ","N","N","N","N","18 31 38","Land With Prev Used Bldg","Commercial","C/I - Improved property excluding air rights","Quit Claim Deed","Divorce Settlement"
"3320500080","ANDERSON MAUDE","525 RAINIER AVE S","SEATTLE","98144",675000,"Report",1,3,1,7,1,2552639,"332050","0080",2012-06-29,213750,20120709000185,NA,NA,NA," ","              ","       ","SOLAZZI RICHARD                                   ","ANDERSON MAUDE                                    ","N","N","N","N","15","Land Only","Commercial","C/I land only","Statutory Warranty Deed","None"
"3320500085","TAN DE+MAI THICH TAN","1332 S WELLER ST","SEATTLE","98144",5164900,"Report",1,15,2,11,3,2451637,"332050","0085",2008-06-28,574651,20100726000873,NA,NA,NA," ","              ","       ","SUN FO LLC                                        ","TAN DE+MAI THICH TAN                              ","N","N","N","N","1 18","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Quit Claim Deed","None"
"3320500115","TAKISAKI INVESTMENT GROUP L","1316 S WELLER ST","SEATTLE","98144",915700,"Report",18,15,2,7,3,2784436,"332050","0115",2016-02-25,0,20160314000969,NA,NA,NA," ","              ","       ","WELLER GENERAL PARTNERSHIP                        ","TAKISAKI INVESTMENT GROUP LLC                     ","N","N","N","N","11 18 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3320500120","TAKISAKI INVESTMENT GROUP L","1312 S WELLER ST","SEATTLE","98144",916700,"Report",18,15,2,7,3,2784436,"332050","0120",2016-02-25,0,20160314000969,NA,NA,NA," ","              ","       ","WELLER GENERAL PARTNERSHIP                        ","TAKISAKI INVESTMENT GROUP LLC                     ","N","N","N","N","11 18 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"3558300000",NA,"701 8TH AVE S",NA,"98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3644600000",NA,"664 S JACKSON ST",NA,"98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3925500000",NA,"450 S MAIN ST",NA,"98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4368300000",NA,"1253 S JACKSO",NA,"N ST",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801292","SREH 2014 LLC","315 S JACKSON ST","SEATTLE","98104",56987000,"Report",18,15,2,7,0,3232215,"524780","1292",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801292","SREH 2014 LLC","315 S JACKSON ST","SEATTLE","98104",56987000,"Report",18,15,2,7,3,2664037,"524780","1292",2014-04-15,0,20140424001317,NA,NA,NA," ","              ","       ","SELIG FAMILY HOLDINGS LLC                         ","SREH 2014 LLC                                     ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801292","SREH 2014 LLC","315 S JACKSON ST","SEATTLE","98104",56987000,"Report",18,15,2,7,3,2664036,"524780","1292",2014-04-15,0,20140424001316,NA,NA,NA," ","              ","       ","UNION STREET IMPROVEMENT COMPANY LLC              ","SELIG FAMILY HOLDINGS LLC                         ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801370","GRE DOWNTOWNER LLC","308 4TH AVE S","SEATTLE","98104",33395900,"Report",18,15,2,7,0,3232215,"524780","1370",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801370","GRE DOWNTOWNER LLC","308 4TH AVE S","SEATTLE","98104",33395900,"Report",1,3,2,11,3,2547119,"524780","1370",2012-06-06,12517655,20120606000991,NA,NA,NA," ","              ","       ","308 4TH AVENUE SOUTH JOINT VENTURE                ","GRE DOWNTOWNER LLC                                ","N","N","N","N"," ","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"5247801370","GRE DOWNTOWNER LLC","308 4TH AVE S","SEATTLE","98104",33395900,"Report",1,4,1,7,1,2688297,"524780","1370",2014-08-15,98280,20140902001130,NA,NA,NA," ","              ","       ","GRE DOWNTOWNER LLC                                ","GRE 4TH AVENUE SOUTH LLC                          ","N","N","N","N","29 45 51 52","Land Only","Commercial","C/I land only","Special Warranty Deed","None"
"5247801370","GRE DOWNTOWNER LLC","308 4TH AVE S","SEATTLE","98104",33395900,"Report",1,4,1,7,1,2688302,"524780","1370",2014-08-15,98280,20140902001131,NA,NA,NA," ","              ","       ","GRE 4TH AVENUE SOUTH LLC                          ","GRE DOWNTOWNER LLC                                ","N","N","N","N","15 22 29 45","Land Only","Commercial","C/I land only","Special Warranty Deed","None"
"5247801380","GRE 4TH AVE S LLC","400 S JACKSON ST","SEATTLE","98104",55616000,"Report",18,15,2,7,0,3232215,"524780","1380",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
